_id,chances,sumcount
hitbtc2 -> livecoin,3,208
crex24 -> bitz,1,85
bw -> crex24,1,10
livecoin -> hitbtc,3,419
poloniex -> hitbtc2,1,21
hitbtc -> gateio,1,51
livecoin -> hitbtc2,4,466
gateio -> hitbtc,3,170
whitebit -> crex24,1,15
whitebit -> hitbtc,1,44
hitbtc -> livecoin,3,218
okex -> crex24,1,77
okex -> hitbtc2,2,303
gateio -> bitz,1,516
okex -> hitbtc,2,269
gateio -> okex,1,1
livecoin -> crex24,5,1220
hitbtc -> whitebit,1,14
bw -> exmo,1,8
poloniex -> hitbtc,1,20
crex24 -> hitbtc,2,56
whitebit -> hitbtc2,1,46
hitbtc2 -> whitebit,1,11
crex24 -> whitebit,1,519
crex24 -> hitbtc2,2,48
hitbtc2 -> gateio,1,51
bitz -> crex24,1,10
livecoin -> okex,1,84
gateio -> hitbtc2,2,194
